Pos,Dorsal,Nombre,Apellidos,Categoria,Pos Categoria,Genero,Pos Genero,Club,Meta,Estado
1,19,Fidel,Fernandez Varela,Vet A M,1,Masculino,1,La Braña-Solorunners,02:55:53,Finalizado
2,30,Manuel,González Pérez,Vet B M,1,Masculino,2,,03:00:00,Finalizado
3,12,Imanol,Cruz Perez,Vet A M,2,Masculino,3,La Braña - Solorunners,03:08:37,Finalizado
4,61,Jorge,Dominguez Lechosa,Senior M,1,Masculino,4,Villa cabezon,03:09:02,Finalizado
5,16,Ramón,Fernández Diego,Vet C M,1,Masculino,5,,03:16:32,Finalizado
6,57,Diego,Urraca Tejerina,Senior M,2,Masculino,6,Labaru trail,03:17:04,Finalizado
7,59,Javier,Blanco,Senior M,3,Masculino,7,,03:19:36,Finalizado
8,5,Pedro Manuel,Blanco Gutiérrez,Vet B M,2,Masculino,8,,03:27:34,Finalizado
9,7,Javier,Casanueva Fernandez,Vet C M,2,Masculino,9,DE TORANZO XTREME,03:32:50,Finalizado
10,9,Jonathan,Celis Gutiérrez,Vet A M,3,Masculino,10,DESNIVAL,03:37:10,Finalizado
11,25,Carlos,García Rodríguez,Senior M,4,Masculino,11,,03:44:35,Finalizado
12,26,Jesús Manuel,Gómez Fernández,Vet B M,3,Masculino,12,CM VISITACION,03:45:38,Finalizado
13,320,Juncal,Diaz Jorrin,Vet A F,1,Femenino,1,Cd la braña,03:45:59,Finalizado
14,58,Poli,Vazquez Cerezo,Vet C M,3,Masculino,13,Ojanco,03:46:13,Finalizado
15,23,Jose,García Gil,Vet C M,4,Masculino,14,A trote cantabria,03:47:20,Finalizado
16,10,Raúl Alejandro,Célis Suarez,Vet A M,4,Masculino,15,Villa de Cabezón,03:47:54,Finalizado
17,53,Pedro,Solar Ruigomez,Vet A M,5,Masculino,16,SOMOS ECOPARQUE,03:47:59,Finalizado
18,69,Zohiartze,Moral Atela,Vet A M,6,Masculino,17,GETXO TRIATLOI TALDEA,03:50:37,Finalizado
19,22,David,García Espinosa,Vet A M,7,Masculino,18,Zorros Team,03:50:39,Finalizado
20,68,Gonzalo,Codina Recalde,Vet B M,4,Masculino,19,,03:53:43,Finalizado
21,31,Natalia,González Sobrino,Vet A F,2,Femenino,2,De Toranzo Xtreme,03:54:39,Finalizado
22,6,Lorraine,Bourbon,Senior F,1,Femenino,3,A TROTE CANTABRIA,03:57:15,Finalizado
23,15,Manuel,Escalante,Senior M,5,Masculino,20,,04:13:20,Finalizado
24,2,Javier,Álvarez Blanco,Vet C M,5,Masculino,21,Soplao Trainer,04:14:12,Finalizado
25,18,Jesús Ángel,Fernández Martínez,Vet B M,5,Masculino,22,,04:19:07,Finalizado
26,37,Eneko,Martin Rámila,Vet B M,6,Masculino,23,-,04:22:35,Finalizado
